ad_id,campaign_id,week,budget,platform,format,copy_type,video_length,has_hook,cta_position,has_face,ctr,cvr,cpm
AD_0047,CMP_005,6,2000000,Feed,Static,Informational,90,0,Middle,1,2.31,2.23,15589
AD_0048,CMP_005,12,3000000,Feed,Carousel,Informational,30,0,End,1,3.77,2.59,17385
AD_0049,CMP_005,6,1000000,Feed,Brand,Emotional,15,0,Middle,0,3.72,2.28,14793
AD_0050,CMP_005,3,500000,Stories,Brand,Emotional,30,1,Middle,1,4.09,2.32,14965
AD_0051,CMP_006,3,3000000,Feed,Carousel,Informational,15,0,Middle,1,4.3,2.11,16565
AD_0052,CMP_006,8,1000000,Stories,Brand,Informational,30,1,Early,0,4.24,2.53,16743
AD_0053,CMP_006,8,1000000,Feed,Carousel,Emotional,15,1,End,0,4.75,2.02,16205
AD_0054,CMP_006,7,1000000,Reels,Static,Informational,15,1,End,0,4.09,1.86,15802
AD_0055,CMP_006,10,1000000,Feed,Carousel,Benefit,15,0,Middle,1,4.77,2.83,16381
AD_0056,CMP_006,4,2000000,Feed,Static,Emotional,90,0,Early,0,2.18,2.38,16076
AD_0057,CMP_006,4,1000000,Reels,Static,Informational,30,0,Early,1,3.51,2.2,16021
AD_0058,CMP_006,3,2000000,Stories,UGC,Emotional,30,0,End,1,4.15,2.08,16599
AD_0059,CMP_006,5,2000000,Stories,Carousel,Benefit,30,1,Early,0,3.95,2.89,16632
AD_0060,CMP_006,3,1000000,Feed,UGC,Emotional,15,1,Early,0,4.79,2.88,16386
AD_0061,CMP_007,8,500000,Reels,Carousel,Emotional,30,1,Middle,1,4.63,2.74,15366
AD_0062,CMP_007,7,1000000,Stories,Carousel,Emotional,30,0,Early,0,3.79,3.18,15894
AD_0063,CMP_007,3,1000000,Feed,UGC,Emotional,15,1,Middle,1,5.41,2.97,14922
AD_0064,CMP_007,9,1000000,Reels,UGC,Benefit,60,0,End,0,4.48,3.0,15269
AD_0065,CMP_007,12,500000,Stories,Carousel,Emotional,15,1,Early,0,4.43,2.96,14938
AD_0066,CMP_007,5,300000,Stories,Brand,Emotional,30,0,End,0,3.33,2.43,15046
AD_0067,CMP_007,9,300000,Reels,Static,Informational,15,0,End,1,3.62,2.33,14434
AD_0068,CMP_007,7,2000000,Reels,UGC,Emotional,60,1,Early,0,4.22,3.19,17705
AD_0069,CMP_007,7,2000000,Reels,Static,Informational,15,1,Early,1,4.88,2.59,17258
AD_0070,CMP_007,6,500000,Reels,Brand,Benefit,30,1,End,1,4.16,3.09,15301
AD_0071,CMP_008,2,3000000,Feed,Brand,Benefit,60,1,Early,1,3.36,2.87,17286
AD_0072,CMP_008,9,300000,Reels,Brand,Benefit,90,0,Middle,1,2.56,2.73,14893
AD_0073,CMP_008,6,2000000,Stories,UGC,Benefit,30,1,Middle,0,4.36,2.98,16024
AD_0074,CMP_008,8,300000,Stories,Brand,Informational,60,1,Early,1,3.74,2.54,15038
AD_0075,CMP_008,1,500000,Feed,UGC,Emotional,60,1,End,1,3.99,2.25,15128
AD_0076,CMP_008,5,500000,Stories,Brand,Benefit,90,0,Early,0,2.62,3.7,14379
AD_0077,CMP_008,12,3000000,Stories,Static,Emotional,15,0,Early,1,4.18,2.74,17417
AD_0078,CMP_008,1,3000000,Reels,Static,Informational,15,1,End,0,3.99,2.09,17172
AD_0079,CMP_008,10,500000,Stories,Carousel,Informational,30,0,End,1,3.62,2.24,14046
AD_0080,CMP_008,11,2000000,Feed,Static,Informational,90,1,Middle,0,2.26,2.31,16069
AD_0081,CMP_009,8,300000,Reels,Carousel,Benefit,15,0,End,1,4.36,2.85,14793
AD_0082,CMP_009,8,1000000,Reels,Static,Emotional,90,0,Middle,0,2.66,2.1,16693
AD_0083,CMP_009,1,3000000,Feed,UGC,Emotional,15,0,End,1,4.81,2.72,17528
AD_0084,CMP_009,9,1000000,Reels,Static,Emotional,60,0,Early,1,3.39,3.04,15082
AD_0085,CMP_009,2,2000000,Reels,Carousel,Informational,15,1,Middle,0,5.51,2.67,16743
AD_0086,CMP_009,12,3000000,Feed,Carousel,Benefit,90,1,Middle,0,2.75,2.98,16476
AD_0087,CMP_009,9,1000000,Reels,Brand,Informational,60,1,Middle,0,3.81,2.47,16291
AD_0088,CMP_009,1,2000000,Feed,UGC,Informational,60,0,Early,0,3.26,2.28,16264
AD_0089,CMP_009,12,300000,Feed,Static,Emotional,60,1,Early,1,3.44,2.91,14953
AD_0090,CMP_009,10,2000000,Stories,Brand,Informational,90,1,Early,1,3.42,2.56,17162
AD_0091,CMP_010,9,3000000,Stories,Static,Emotional,30,1,Early,0,3.41,2.58,16606
AD_0092,CMP_010,4,500000,Reels,Static,Benefit,30,0,Early,1,3.02,3.32,14301
AD_0093,CMP_010,9,300000,Reels,Brand,Emotional,30,0,Middle,0,3.37,2.73,14708
AD_0094,CMP_010,7,1000000,Feed,Brand,Benefit,90,0,Early,0,2.53,3.12,16269
AD_0095,CMP_010,11,3000000,Reels,Brand,Emotional,60,1,Middle,1,4.41,2.61,16490
AD_0096,CMP_010,6,500000,Feed,Brand,Informational,30,1,Early,1,3.66,2.24,13583
AD_0097,CMP_010,5,2000000,Feed,Brand,Informational,90,1,End,1,3.13,2.51,16274
AD_0098,CMP_010,11,500000,Reels,Static,Benefit,30,0,Middle,1,3.68,2.68,15275
AD_0099,CMP_010,9,3000000,Feed,Brand,Benefit,15,0,End,1,3.74,2.62,17850
AD_0100,CMP_010,2,3000000,Stories,UGC,Benefit,30,1,Middle,1,5.24,2.92,17018
AD_0101,CMP_011,11,500000,Reels,Carousel,Emotional,30,0,End,1,4.1,2.68,14794
AD_0102,CMP_011,12,2000000,Stories,Brand,Emotional,60,0,Early,0,3.09,2.98,17076
AD_0103,CMP_011,2,500000,Reels,Brand,Benefit,90,0,Early,0,3.01,3.1,14065
AD_0104,CMP_011,11,3000000,Feed,Static,Informational,60,0,Early,0,2.22,2.69,17055
AD_0105,CMP_011,12,3000000,Reels,Brand,Emotional,60,1,Middle,0,3.82,2.08,17345
AD_0106,CMP_011,9,1000000,Stories,Brand,Emotional,60,0,End,0,2.77,2.22,15974
AD_0107,CMP_011,12,1000000,Feed,Brand,Emotional,60,0,Early,1,2.95,2.53,15495
AD_0108,CMP_011,3,300000,Reels,Static,Benefit,60,0,End,0,2.97,3.11,15017
AD_0109,CMP_011,8,3000000,Reels,Brand,Benefit,30,0,End,0,3.59,2.96,16005
AD_0110,CMP_011,11,1000000,Reels,Carousel,Benefit,60,1,Early,0,3.98,3.15,15420
AD_0111,CMP_012,9,500000,Stories,Static,Benefit,60,1,Early,0,2.72,3.17,15226
AD_0112,CMP_012,8,2000000,Stories,Carousel,Benefit,90,0,End,0,2.7,3.19,16008
AD_0113,CMP_012,4,500000,Reels,Static,Informational,15,0,Early,0,3.78,2.46,15029
AD_0114,CMP_012,12,2000000,Feed,Brand,Informational,30,0,Early,0,3.32,2.17,16723
AD_0115,CMP_012,1,1000000,Feed,Carousel,Benefit,30,0,Early,1,3.37,3.37,15578
AD_0116,CMP_012,4,300000,Stories,Static,Emotional,30,0,Middle,1,2.95,2.55,15085
AD_0117,CMP_012,9,500000,Feed,UGC,Benefit,60,0,End,0,3.64,3.04,14518
AD_0118,CMP_012,2,500000,Stories,Brand,Informational,60,1,End,1,3.83,2.19,14896
AD_0119,CMP_012,3,500000,Reels,Static,Informational,60,0,Middle,1,2.61,2.09,15305
AD_0120,CMP_012,10,2000000,Stories,UGC,Emotional,90,1,End,1,4.35,2.5,16578
AD_0121,CMP_013,8,1000000,Stories,Static,Informational,15,1,Early,1,4.12,2.5,15456
AD_0122,CMP_013,6,500000,Reels,UGC,Benefit,60,0,End,0,4.49,2.85,15112
AD_0123,CMP_013,8,500000,Feed,Brand,Emotional,15,1,Early,1,4.57,3.1,15357
AD_0124,CMP_013,7,300000,Stories,Carousel,Benefit,90,1,Middle,1,3.93,2.63,13975
AD_0125,CMP_013,5,300000,Stories,UGC,Benefit,30,1,Early,1,5.03,3.17,15579
AD_0126,CMP_013,9,1000000,Reels,Static,Emotional,60,1,End,0,2.94,2.2,15581
AD_0127,CMP_013,4,1000000,Feed,Brand,Benefit,15,1,End,0,4.78,2.15,15962
AD_0128,CMP_013,6,3000000,Stories,UGC,Informational,15,1,End,0,4.71,2.19,17848
AD_0129,CMP_013,2,300000,Reels,Static,Benefit,60,0,Middle,0,3.04,2.91,14314
AD_0130,CMP_013,2,3000000,Stories,Static,Emotional,30,1,Middle,0,3.59,2.66,16895
AD_0131,CMP_014,2,2000000,Reels,Static,Emotional,30,1,End,0,3.46,2.35,16355
AD_0132,CMP_014,10,3000000,Feed,UGC,Emotional,30,1,Early,0,4.6,2.33,16858
AD_0133,CMP_014,7,500000,Feed,UGC,Benefit,90,0,Middle,1,3.5,2.69,15867
AD_0134,CMP_014,2,3000000,Feed,UGC,Emotional,15,1,End,1,5.1,2.73,16821
AD_0135,CMP_014,12,1000000,Feed,Carousel,Emotional,15,0,End,1,4.44,2.19,15472
AD_0136,CMP_014,2,2000000,Stories,UGC,Benefit,15,1,Middle,0,4.9,3.3,16602
AD_0137,CMP_014,9,500000,Stories,UGC,Informational,90,0,Middle,0,3.43,2.56,14398
AD_0138,CMP_014,7,3000000,Feed,UGC,Benefit,15,0,Middle,0,4.32,2.82,17052
AD_0139,CMP_014,11,2000000,Feed,Carousel,Emotional,90,1,Early,0,3.2,2.52,16658
AD_0140,CMP_014,3,2000000,Feed,UGC,Emotional,30,1,Early,0,4.53,2.96,16333
AD_0141,CMP_015,3,500000,Stories,Static,Benefit,60,0,End,1,2.72,2.74,14953
AD_0142,CMP_015,7,3000000,Feed,UGC,Informational,15,1,Middle,1,5.24,1.91,16985
AD_0143,CMP_015,5,2000000,Feed,Static,Emotional,15,0,Early,0,3.15,2.84,15742
AD_0144,CMP_015,10,2000000,Feed,Static,Emotional,30,0,Middle,0,3.13,2.6,16660
AD_0145,CMP_015,6,300000,Reels,Static,Emotional,60,0,End,0,2.9,2.68,15877
AD_0146,CMP_015,12,2000000,Feed,Carousel,Benefit,90,0,Early,0,2.87,3.19,16509
AD_0147,CMP_015,8,300000,Reels,Carousel,Emotional,60,0,Early,1,4.01,2.56,15112
AD_0148,CMP_015,9,3000000,Reels,Carousel,Informational,30,1,Early,0,4.12,2.82,17596
AD_0149,CMP_015,1,3000000,Feed,UGC,Emotional,30,0,End,0,4.16,2.74,16615
AD_0150,CMP_015,3,3000000,Reels,Static,Emotional,60,0,Middle,0,2.9,2.56,18101
AD_0151,CMP_016,11,1000000,Feed,Carousel,Informational,90,1,Early,0,2.83,2.52,15851
AD_0152,CMP_016,7,3000000,Stories,Carousel,Emotional,90,0,End,1,2.87,2.07,18065
AD_0153,CMP_016,6,2000000,Stories,UGC,Benefit,15,1,Middle,0,5.03,2.75,16133
AD_0154,CMP_016,7,500000,Stories,Carousel,Benefit,90,1,End,0,3.1,2.99,15909
AD_0155,CMP_016,8,300000,Stories,UGC,Benefit,60,1,Middle,1,4.53,2.76,15387
AD_0156,CMP_016,6,1000000,Reels,Brand,Informational,30,0,End,1,3.5,1.84,16026
AD_0157,CMP_016,3,3000000,Feed,Carousel,Emotional,15,0,Middle,1,4.27,3.37,17367
AD_0158,CMP_016,2,3000000,Feed,Brand,Benefit,15,0,Early,0,4.12,2.73,17125
AD_0159,CMP_016,12,500000,Feed,UGC,Informational,30,1,Middle,0,4.39,2.86,15600
AD_0160,CMP_016,7,500000,Stories,Static,Emotional,90,0,End,1,2.51,2.32,15070
AD_0161,CMP_017,12,1000000,Stories,Carousel,Informational,30,1,End,1,4.52,2.18,14766
AD_0162,CMP_017,12,300000,Feed,UGC,Benefit,90,0,Middle,1,3.39,2.73,14441
AD_0163,CMP_017,12,3000000,Stories,Static,Benefit,30,1,Early,1,3.95,3.3,17157
AD_0164,CMP_017,11,1000000,Feed,Static,Benefit,60,0,Early,1,2.85,2.74,15904
AD_0165,CMP_017,1,2000000,Feed,Brand,Informational,90,0,Middle,1,2.81,1.84,16471
AD_0166,CMP_017,3,2000000,Feed,UGC,Informational,60,0,Middle,0,3.65,2.7,17109
AD_0167,CMP_017,12,1000000,Feed,Static,Benefit,15,1,End,0,4.41,2.6,14774
AD_0168,CMP_017,11,3000000,Feed,Carousel,Informational,30,1,Early,0,4.18,2.69,17321
AD_0169,CMP_017,4,1000000,Feed,Carousel,Benefit,15,0,Middle,1,4.96,2.63,14841
AD_0170,CMP_017,1,3000000,Feed,Brand,Benefit,15,0,Early,1,4.16,3.28,17629
AD_0171,CMP_018,5,500000,Stories,Static,Emotional,15,1,Middle,1,3.86,2.92,14952
AD_0172,CMP_018,10,1000000,Feed,UGC,Informational,15,1,Middle,1,5.22,2.17,15959
AD_0173,CMP_018,3,3000000,Feed,Carousel,Benefit,30,1,Early,1,3.69,2.62,16818
AD_0174,CMP_018,2,1000000,Stories,Static,Benefit,15,0,Middle,1,3.96,3.32,16389
AD_0175,CMP_018,3,1000000,Stories,Static,Informational,30,1,Middle,0,3.62,2.53,16270
AD_0176,CMP_018,8,3000000,Stories,Brand,Emotional,30,0,End,0,3.03,2.28,17541
AD_0177,CMP_018,6,3000000,Feed,Carousel,Emotional,60,1,Middle,1,3.7,2.45,17185
AD_0178,CMP_018,7,300000,Reels,Carousel,Benefit,90,0,Middle,0,3.24,2.62,15289
AD_0179,CMP_018,12,1000000,Reels,UGC,Informational,90,1,Middle,1,4.14,2.66,15396
AD_0180,CMP_018,6,2000000,Stories,Carousel,Emotional,30,1,End,0,3.72,2.27,16927
AD_0181,CMP_019,6,1000000,Reels,UGC,Informational,60,1,Early,1,5.17,2.15,16574
AD_0182,CMP_019,12,1000000,Stories,Carousel,Informational,30,1,End,1,4.43,2.25,16285
AD_0183,CMP_019,3,3000000,Feed,Brand,Benefit,30,1,End,0,3.43,2.58,16885
AD_0184,CMP_019,12,1000000,Reels,Carousel,Emotional,30,0,Early,0,3.29,2.44,15930
AD_0185,CMP_019,8,1000000,Feed,UGC,Benefit,60,1,End,1,4.66,2.69,15103
AD_0186,CMP_019,12,2000000,Reels,UGC,Emotional,90,1,Early,1,4.29,2.72,16786
AD_0187,CMP_019,7,3000000,Feed,Brand,Emotional,60,1,End,0,3.86,2.05,17475
AD_0188,CMP_019,7,1000000,Reels,Carousel,Emotional,15,0,Early,0,4.66,3.05,14815
AD_0189,CMP_019,6,500000,Feed,Carousel,Emotional,60,1,Middle,1,3.66,2.67,14419
AD_0190,CMP_019,5,300000,Feed,Brand,Emotional,60,0,End,0,2.59,2.31,14858
AD_0191,CMP_020,10,2000000,Reels,Carousel,Informational,60,1,End,1,4.82,1.97,16349
AD_0192,CMP_020,8,1000000,Feed,Carousel,Benefit,60,1,End,1,3.87,2.78,15145
AD_0193,CMP_020,5,500000,Feed,UGC,Informational,90,0,End,1,3.45,2.42,15194
AD_0194,CMP_020,9,1000000,Feed,Carousel,Emotional,15,1,Middle,1,4.81,2.69,15875
AD_0195,CMP_020,9,1000000,Reels,Carousel,Benefit,90,0,End,0,3.04,3.06,15652
AD_0196,CMP_020,1,3000000,Reels,Brand,Emotional,90,0,Middle,0,2.97,2.38,16872
AD_0197,CMP_020,6,3000000,Feed,Brand,Benefit,60,1,Middle,0,3.28,2.17,17774
AD_0198,CMP_020,7,3000000,Feed,Static,Informational,30,0,Middle,0,2.96,2.61,18077
AD_0199,CMP_020,3,500000,Reels,UGC,Benefit,30,1,Middle,0,4.68,2.86,14758
AD_0200,CMP_020,7,1000000,Reels,Carousel,Benefit,90,1,Early,0,3.43,3.27,15443
AD_0201,CMP_021,11,300000,Feed,Carousel,Benefit,90,0,Early,0,2.7,3.52,15245
AD_0202,CMP_021,11,2000000,Feed,Static,Benefit,60,0,End,1,2.59,3.41,16320
AD_0203,CMP_021,7,3000000,Feed,Carousel,Benefit,90,0,Early,0,2.78,2.94,17180
AD_0204,CMP_021,11,3000000,Stories,UGC,Emotional,60,0,Early,0,3.99,2.73,17619
AD_0205,CMP_021,2,1000000,Reels,Static,Benefit,30,1,End,1,4.07,3.14,14795
AD_0206,CMP_021,7,1000000,Stories,UGC,Benefit,30,1,End,0,4.96,2.59,16409
AD_0207,CMP_021,1,500000,Reels,Static,Informational,15,0,End,0,3.46,2.05,15036
AD_0208,CMP_021,5,500000,Reels,Static,Benefit,30,1,Early,1,4.02,2.95,14794
AD_0209,CMP_021,9,3000000,Reels,Brand,Informational,90,1,Early,0,3.62,2.49,17205
AD_0210,CMP_021,7,1000000,Reels,UGC,Emotional,30,1,End,0,4.6,2.34,15731
AD_0211,CMP_022,7,300000,Reels,Carousel,Benefit,60,1,Middle,0,3.94,2.75,14134
AD_0212,CMP_022,11,2000000,Reels,Carousel,Informational,30,0,End,1,3.58,1.96,17247
AD_0213,CMP_022,12,1000000,Reels,UGC,Informational,15,0,Middle,0,5.17,2.5,15770
AD_0214,CMP_022,2,1000000,Stories,Carousel,Emotional,30,1,Middle,0,4.04,2.83,15971
AD_0215,CMP_022,8,500000,Feed,Carousel,Benefit,60,0,End,1,3.64,3.17,15475
AD_0216,CMP_022,3,2000000,Feed,UGC,Benefit,60,0,End,0,3.66,2.68,15989
AD_0217,CMP_022,8,3000000,Stories,Static,Informational,90,0,End,1,2.54,2.41,17486
AD_0218,CMP_022,3,1000000,Stories,UGC,Benefit,30,1,Early,1,4.42,3.16,15616
AD_0219,CMP_022,10,3000000,Stories,Static,Informational,60,1,Middle,0,2.68,2.16,17673
AD_0220,CMP_022,7,1000000,Stories,Carousel,Benefit,15,1,Early,1,4.22,3.28,14686
AD_0221,CMP_023,2,3000000,Reels,Carousel,Informational,90,0,Early,1,3.33,2.35,17200
AD_0222,CMP_023,4,2000000,Feed,Carousel,Benefit,15,1,End,0,5.18,2.71,16198
AD_0223,CMP_023,11,500000,Reels,Brand,Emotional,30,1,Early,1,3.91,2.36,15216
AD_0224,CMP_023,6,2000000,Feed,Static,Benefit,30,0,End,1,2.21,2.68,16735
AD_0225,CMP_023,11,300000,Feed,Brand,Benefit,30,1,Middle,0,3.89,2.96,14646
AD_0226,CMP_023,9,500000,Stories,Brand,Emotional,90,1,End,0,3.91,2.79,14643
AD_0227,CMP_023,5,2000000,Reels,UGC,Benefit,60,0,Early,0,4.09,3.01,16444
AD_0228,CMP_023,9,300000,Stories,Brand,Emotional,90,0,Early,1,3.09,2.44,14551
AD_0229,CMP_023,5,1000000,Reels,UGC,Benefit,15,0,End,0,4.81,3.17,16170
AD_0230,CMP_023,10,1000000,Feed,UGC,Informational,90,1,End,1,3.56,2.07,15565
AD_0231,CMP_024,8,3000000,Stories,Brand,Informational,15,1,Early,1,4.26,2.06,15796
AD_0232,CMP_024,1,500000,Stories,Static,Benefit,90,1,Middle,1,3.0,2.93,14812
AD_0233,CMP_024,7,1000000,Feed,Static,Benefit,60,0,Middle,1,2.55,2.82,15230
AD_0234,CMP_024,4,500000,Feed,Static,Benefit,15,0,End,1,3.57,3.38,14184
AD_0235,CMP_024,5,1000000,Feed,Static,Informational,30,1,Middle,1,3.75,2.42,15131
AD_0236,CMP_024,6,3000000,Stories,Static,Benefit,30,1,Early,1,3.53,3.06,17304
AD_0237,CMP_024,5,2000000,Reels,Brand,Informational,90,0,End,0,3.15,1.97,17164
AD_0238,CMP_024,12,3000000,Stories,Brand,Emotional,30,0,Early,0,3.13,2.78,17406
AD_0239,CMP_024,1,300000,Reels,Carousel,Informational,15,0,Early,1,5.01,2.86,14696
AD_0240,CMP_024,12,1000000,Stories,Static,Informational,30,0,Middle,1,3.23,2.38,15977
AD_0241,CMP_025,9,300000,Stories,Brand,Emotional,60,1,End,0,3.37,2.19,14770
AD_0242,CMP_025,2,300000,Feed,Carousel,Informational,60,0,End,1,3.42,2.33,14652
AD_0243,CMP_025,9,500000,Reels,Static,Benefit,90,1,Middle,0,2.91,2.89,14422
AD_0244,CMP_025,10,1000000,Stories,UGC,Benefit,15,1,Early,0,5.23,3.21,14874
AD_0245,CMP_025,2,300000,Stories,Carousel,Informational,60,1,Early,0,4.03,2.41,14805
AD_0246,CMP_025,9,2000000,Feed,Brand,Benefit,60,0,Early,1,3.07,3.01,16579
AD_0247,CMP_025,6,300000,Feed,UGC,Informational,15,0,Early,1,4.69,2.4,14951
AD_0248,CMP_025,11,2000000,Reels,UGC,Benefit,30,0,End,0,3.96,3.04,16292
AD_0249,CMP_025,9,500000,Stories,UGC,Benefit,30,0,End,0,4.27,2.71,14527
AD_0250,CMP_025,6,300000,Reels,Carousel,Informational,90,1,Middle,0,3.8,2.19,15304
AD_0251,CMP_026,6,3000000,Stories,Brand,Benefit,30,0,Middle,0,2.95,2.66,16591
AD_0252,CMP_026,11,500000,Reels,UGC,Informational,15,0,End,0,5.15,2.31,15388
AD_0253,CMP_026,2,2000000,Feed,Static,Benefit,60,1,End,1,2.84,2.88,15998
AD_0254,CMP_026,8,500000,Stories,UGC,Benefit,30,0,Early,0,4.41,2.99,14623
AD_0255,CMP_026,3,300000,Reels,UGC,Emotional,90,1,Early,1,4.71,2.52,14266
AD_0256,CMP_026,7,1000000,Feed,Carousel,Emotional,30,1,Middle,0,4.03,2.97,15499
AD_0257,CMP_026,5,1000000,Feed,Carousel,Informational,15,1,End,1,4.69,1.73,16237
AD_0258,CMP_026,3,2000000,Reels,Brand,Emotional,90,1,Middle,1,3.87,2.62,16757
AD_0259,CMP_026,1,2000000,Stories,Static,Informational,30,1,End,1,4.02,2.52,16989
AD_0260,CMP_026,8,1000000,Stories,Carousel,Emotional,90,1,Early,1,3.98,1.85,16011
AD_0261,CMP_027,3,2000000,Feed,UGC,Benefit,15,1,Middle,1,5.1,3.1,15948
AD_0262,CMP_027,2,500000,Stories,Brand,Informational,60,1,Middle,1,3.88,2.24,14834
AD_0263,CMP_027,1,3000000,Stories,UGC,Informational,15,0,End,0,5.04,2.26,16859
AD_0264,CMP_027,4,3000000,Stories,UGC,Benefit,15,0,Early,1,5.66,3.02,17915
AD_0265,CMP_027,8,500000,Feed,Carousel,Informational,15,0,Middle,0,3.94,2.57,14401
AD_0266,CMP_027,3,3000000,Reels,Brand,Informational,15,0,Early,1,4.66,2.59,17696
AD_0267,CMP_027,1,300000,Stories,Static,Emotional,60,1,Middle,1,3.74,2.53,15446
AD_0268,CMP_027,4,500000,Feed,Static,Informational,60,0,Early,0,2.16,2.28,15914
AD_0269,CMP_027,9,2000000,Feed,Carousel,Benefit,90,1,End,1,4.13,3.27,16295
AD_0270,CMP_027,1,500000,Reels,Carousel,Emotional,30,0,Middle,0,3.48,2.5,15356
AD_0271,CMP_028,12,1000000,Stories,Brand,Emotional,60,0,Middle,0,3.24,3.07,16890
AD_0272,CMP_028,11,2000000,Stories,Static,Benefit,60,0,Early,0,2.69,3.58,16191
AD_0273,CMP_028,2,1000000,Reels,Static,Benefit,30,1,Early,0,3.62,2.66,14982
AD_0274,CMP_028,9,2000000,Reels,Static,Emotional,60,0,Middle,1,3.86,2.34,15559
AD_0275,CMP_028,2,3000000,Feed,UGC,Informational,15,1,End,1,5.21,1.94,17606
